,No.,Creator,Label,Question,Answer,Question_Encoded
18,19,Thiện,CN,Định hướng “Industry Relevant” là gì ?,"ĐH FPT đào tạo sinh viên theo hướng là một người đi làm hơn là sinh viên thuần túy. Và ngay từ lúc bạn bước vào trường thì bạn đã được FPT định hướng như vậy. Sinh viên được đào tạo trong doanh nghiệp, hướng dẫn bởi các chuyên gia hàng đầu. Lãnh đạo ưu tú của các doanh nghiệp trong lĩnh vực Trí tuệ Nhân tạo là diễn giả trong các hội thảo, cố vấn trong các cuộc thi tại Đại học FPT. 100% sinh viên tham gia Học kỳ đào tạo trong doanh nghiệp và thực hiện Khoá luận tốt nghiệp",938
19,20,Thiện,CN,Giảng Viên sẽ là những người có chuyên môn cao không?,"Tại FPT việc hướng dẫn các sinh viên học là vô cùng quan trọng, cho nên đội ngũ Giảng viên có kinh nghiệm và chuyên môn cao với trình độ Tiến sĩ, Thạc sĩ.",416
20,21,Thiện,CN,Có ai đã thành công với ngành AI sau khi học tại FPT chưa ?,"Tất nhiên là có rồi, sau đây là một vài những tấm gương sáng giúp bạn tham khảo: 

- CAO NGỌC HIẾU
(SV ngành Trí tuệ nhân tạo, HB 100%, Giải Nhì cuộc thi ACM-ICPC vòng quốc gia, Giải Ba Tin học Quốc gia, Software Developer tại Tiki)
“Mình chọn Trí Tuệ Nhân Tạo vì nó là xu hướng mà cả thế giới đang hướng tới và có rất nhiều triển vọng. Không khó để nhận ra AI hiện hữu trong mọi lĩnh vực đời sống. Môi trường học tập tuyệt vời tại Đại học FPT đã cho mình nền tảng vững chắc về chuyên môn, ngoại ngữ, những kỹ năng lợi hại giúp mình tự tin hơn và sẵn sàng trở thành Kỹ sư trí tuệ nhân tạo”

- LÊ TRUNG HIẾU
(SV ngành Trí tuệ nhân tạo, học bổng 100%, Cóc vàng học kì Spring và Summer 2021, AI Residency tại FPT AI Center)
""Bước chân vào ĐH FPT là bước chân vào một thế giới năng động và đầy sự thúc đẩy để mình nỗ lực, làm mới bản thân. Đó là các hoạt động, cuộc thi cho mình trải nghiệm, tích lũy. Hay cả chính sách cho phép sinh viên được vừa học vừa làm sau kỳ OJT khi có hợp đồng lao động toàn thời gian với doanh nghiệp. Nhờ vậy mình đã chinh phục danh hiệu Cóc Vàng trong 2 học kỳ liên tiếp và trở thành AI Residency tại FPT AI Center ngay khi học",123
21,22,Thiện,CN,Tại sao ngành là Trí tuệ nhân tạo chưa thấy môn nào đi sâu vào ngành này cả?,"Bạn sẽ được học ở kì 7 khi vào chuyên ngành hẹp với các môn như:
- Xử lý ảnh
- Học phần 1 của combo
- Học phần 2 của combo
- Học phần 3 của combo
- Kỹ năng viết học thuật [MOOC]",786
22,23,Thiện,CN,"Em thấy có một số trường dạy AI bằng Java, C,... Vậy trường mình dùng ngôn ngữ gì để đào tạo ngành AI ?",Để bắt kịp xu thế với thế giới FPT sẽ ưu tiên đào tạo SV ngành AI bằng ngôn ngữ Python,370
23,24,Thiện,CN,Vì sao lại dạy Python mà không dạy C hay Java cho ngành AI ?,"Sự lựa chọn giữa ngôn ngữ lập trình Python, C và Java cho ngành Trí tuệ nhân tạo (AI) phụ thuộc vào nhiều yếu tố khác nhau, bao gồm tính dễ học, sự phổ biến trong cộng đồng AI, khả năng tương tác với các thư viện và framework AI, hiệu suất, tính di động và nhiều yếu tố khác. Dưới đây là một số lý do mà Python sẽ được FPT ưu tiên dạy cho ngành AI:
- Dễ học và đọc: Python có cú pháp đơn giản và dễ hiểu, làm cho việc học và phát triển trong AI dễ dàng hơn so với các ngôn ngữ khác như C hay Java. Python giúp giảm thời gian và công sức cần thiết để nắm bắt cú pháp và tập trung vào các khái niệm AI.
- Ecosystem phong phú: Python có một cộng đồng phát triển mạnh mẽ và một hệ sinh thái phong phú của các thư viện và framework AI như TensorFlow, PyTorch, scikit-learn và NumPy. Nhờ đó, Python cung cấp cho nhà phát triển AI một loạt các công cụ và tài nguyên sẵn có để xây dựng và triển khai các mô hình AI.
- Tích hợp dễ dàng: Python dễ dàng tích hợp với các ngôn ngữ và công nghệ khác như C/C++, Java và R. Điều này cho phép sử dụng các thư viện và framework đã được viết bằng ngôn ngữ khác trong dự án AI của bạn.
- Hiệu suất đủ để xử lý AI: Mặc dù Python không phải là ngôn ngữ với hiệu suất tối đa, nhưng với sự phát triển của các thư viện tối ưu hóa như NumPy và PyTorch, Python đã trở thành một lựa chọn phổ biến cho AI. Đồng thời, một phần lớn công việc tính toán nặng trong AI được thực hiện thông qua các thư viện nhanh như TensorFlow, nên hiệu suất Python không gây ảnh hưởng lớn đến hiệu năng tổng thể của dự án AI.",792
24,25,Thiện,CN,Tại sao phải học tiếng Nhật trong khi có thể giao tiếp bằng tiếng Anh ?,"FPT hướng đến sự nghiệp toàn cầu, định hướng các bạn sinh viên đi làm trong nhiều môi trường khác nhau, cho nên ngoài tiếng Anh các bạn cần biết thêm một vài ngôn ngữ khác. Chúng tôi ưu tiên tiếng Nhật thay vì tiếng Hoa hay Hàn vì Nhật là một quốc gia nằm trong số các quốc gia hàng đầu về CN và AI là một trong số đó, chúng tôi ưu tiên cho bạn học thêm tiếng Nhật vì sẽ giúp bạn được trong tương lai",787
25,26,Thiện,CN,Có được đi thực tập không ạ ?,Tất nhiên là có rồi. Đây là việc vô cùng quan trọng tại FPT. Và sau khi học đủ nền tảng bạn sẽ được đi thực tập học hỏi tại các doanh nghiệp ở kì 6,326
26,27,Thiện,CN,Đi thực tập trong bao lâu ạ ?,Tùy theo mỗi khả năng và cơ hội ở mỗi bạn thì sẽ có khoảng thời gian khác nhau. Nhưng Chung quy lại thì sinh viên sẽ được làm việc trong các dự án thực tế trong nước và quốc tế tại FPT Software hoặc các công ty phần mềm trong và ngoài nước là đối tác của Đại học FPT từ 4 – 8 tháng,808
27,28,Thiện,CN,Em có phải học Mác - Lê-nin và Tư tưởng HCM không ạ ?,"Có nha. Triết học Mác - Lê-nin sẽ học ở kì 8 . Lịch sử Đảng Cộng sản Việt Nam, Tư tưởng HCM sẽ được học ở kì 9 nha",337
28,29,Thiện,CN,Cơ hội việc làm của ngành AI cao không ạ ?,Ở FPT thì 100% sinh viên sẽ được các doanh nghiệp săn đón sau khi ra trường nha.,328
29,30,Thiện,CN,Có video giới thiệu trực quan hơn về ngành AI không ạ ?,"Tất nhiên có rồi. Đây là video do thầy Đoàn Nguyễn Thành Hòa - một biểu tượng lớn trong ngành AI (campus FPTHCM).
Link video: https://youtu.be/P46cV8aLxvw",308
30,31,Thiện,Chung,Làm thế nào để trở thành SV FPT ?,"Để trở thành sinh viên Đại học FPT, bạn cần đáp ứng một trong các điều kiện:

• Có điểm trung bình học bạ lớp 11 và học kỳ 1 lớp 12 đạt TOP40 trở lên theo bảng xếp hạng tra cứu tại: http://schoolrank.fpt.edu.vn

• Có điểm thi THPT QG đạt TOP40 trở lên theo bảng xếp hạng tra cứu tại: http://schoolrank.fpt.edu.vn

• Hoặc thí sinh thuộc đối tượng ưu tiên xét tuyển, chi tiết xem thêm tại trang Học bổng. ",491
31,32,Thiện,Chung,Cho em hỏi học phí ở FPT là bao nhiêu ạ ?,"Học phí ở FPT sẽ có các khoản như sau: (tính theo kì FA23 hiện tại)
- TACB là 11.900.000đ cho 1 kì 
- Chuyên Ngành là 28.700.000đ cho 1 kì",26
32,33,Thiện,Chung,Học phí có tăng qua các năm không ạ. Hay mức học phí sẽ cố định cho đến kì em tốt nghiệp ạ ?,"(*) Học phí có thể được điều chỉnh (tăng hoặc giảm) hàng năm và được ban hành bằng phụ lục mới.
Biên độ điều chỉnh giữa 2 năm liên tiếp không quá 10%",432
33,34,Thiện,Chung,Học phí có được giảm giá và ưu đã không ạ ?,Tất nhiên là có em nhé. Học phí sẽ được ưu đãi cho các bạn có học lực khá và giỏi,433
34,35,Thiện,Chung,Đối tượng áp dụng ưu đãi học phí ?,"Các thí sinh trúng tuyển Đại học FPT, có học lực khá, khó khăn về CN có nguyện vọng tham gia chương trình Tín dụng ưu đãi, đáp ứng đủ điều kiện đầu vào xét cấp tín dụng. Việc cấp tín dụng chỉ được áp dụng từ khi thí sinh trở thành sinh viên chính thức của Trường.",939
35,36,Thiện,Chung,Cần những tiêu chí nào để có những ưu đãi ạ ?,"Thí sinh có nguyện vọng tham gia chương trình Tín dụng ưu đãi, có mức sống trung bình trở xuống theo Nghị định số 07/2021/NĐ-CP của Thủ tướng chính phủ ban hành ngày 27/01/2021, đạt điều kiện sau và vượt qua vòng phỏng vấn của Đại học FPT: Đạt xếp hạng Top30 theo kết quả thi THPT năm 2023 hoặc theo học bạ THPT năm 2023 (chứng nhận thực hiện trên trang https://SchoolRank.fpt.edu.vn).",330
36,37,Thiện,Chung,Các ưu đãi này có thời hạn là bao lâu ạ ?,"Thực hiện theo quy định CN học bổng, tín dụng đối với sinh viên hệ đại học chính quy Trường Đại học FPT hiện hành:   
- Các mức tín dụng: 50% - 70% học phí toàn khoá học;
- Thời hạn cấp tín dụng tối đa 5 năm kể từ ngày nhập học. ",121
37,38,Thiện,Chung,Em rất muốn học FPT nhưng điều kiện kinh tế của em không đủ đóng học phí thì làm sao ạ ?,"Cảm ơn bạn khi đã quan tâm và có mong muốn tại FPT. Với mục tiêu tiềm kiếm, thu hút và bồi dưỡng tài năng thì FPT có những 1000 suất học bổng cho mỗi kì tuyển sinh. Bạn có thể tham khảo thêm về vấn đề học bổng tại FPT",368
38,39,Thiện,Chung,Học bổng tại FPT là học bổng toàn phần hay sao ạ ?,"Học bổng tại FPT được chia ra làm ba loại 50%, 70%, và toàn phần là 100%",427
39,40,Thiện,Chung,Em đạt giải Ba trong kỳ thi Học sinh giỏi quốc gia môn Toán thì được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,392
40,41,Thiện,Chung,Em đạt giải Nhất cấp quốc gia tại cuộc thi Khoa học kỹ thuật cấp quốc gia có được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,393
41,42,Thiện,Chung,Em đạt huy chương vàng (HCV) tại Hội Khỏe Phù Đổng toàn quốc bộ môn bóng đá thì có được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,403
42,43,Thiện,Chung,Em đạt huy chương bạc (HCB) tại Hội Khỏe Phù Đổng toàn quốc bộ môn bóng đá thì có được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,402
43,44,Thiện,Chung,Em đạt huy chương đồng (HCĐ) tại Hội Khỏe Phù Đổng toàn quốc bộ môn bóng đá thì có được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,404
44,45,Thiện,Chung,Em đạt giải nhì trong kỳ thi Học sinh giỏi quốc gia môn Toán thì được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,398
45,46,Thiện,Chung,Em đạt giải nhất trong kỳ thi Học sinh giỏi quốc gia môn Toán thì được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,401
46,47,Thiện,Chung,Em đạt giải ba trong kỳ thi Học sinh giỏi quốc gia môn Hóa thì được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,394
47,48,Thiện,Chung,Em đạt giải ba trong kỳ thi Học sinh giỏi quốc gia môn Tin thì được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,395
48,49,Thiện,Chung,Em đạt giải nhì trong kỳ thi Học sinh giỏi quốc gia môn Tin thì được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,397
49,50,Thiện,Chung,Em đạt giải nhất trong kỳ thi Học sinh giỏi quốc gia môn Tin thì được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,400
50,51,Thiện,Chung,Em đạt giải nhất trong kỳ thi Học sinh giỏi quốc gia môn Hóa thì được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,399
51,52,Thiện,Chung,Em đạt giải nhì trong kỳ thi Học sinh giỏi quốc gia môn Hóa thì được học bổng không ạ ?,Bạn thật giỏi. Đối với trường hợp của bạn FPT sẽ có học bổng 50% dành cho bạn,396
52,53,Thiện,CN,AI là ngành khá mới và khó. Khi học tại trường có được nghe hướng dẫn từ các chuyên gia trong ngành để em có thể học hỏi thêm không ạ ?,Tất nhiên là có bạn nhé. Biết được nhu cầu học hỏi và khám phá của SV thì FPT sẽ có những buổi hội thảo mời các chuyên gia của các lĩnh vực về để tư vấn cho sinh viên và AI là một trong số đó,13
53,54,Thiện,Chung,Em muốn biết làm sao để có thể đạt học bổng toàn phần tại FPT ạ ?,"Đối với việc này bạn cần thỏa mãn một trong các tiêu chí:
- Tham gia đội tuyển trong các kỳ thi quốc tế IMO, IOI.
- Đạt giải Nhất trong kỳ thi Học sinh giỏi Quốc gia một trong các môn Toán, Vật lý, Hóa học, Tin học.",361
54,55,Thiện,CN,"Đại học FPT có chương trình chia sẻ kiến thức, trải nghiệm thực tế những kinh nghiệm của các doanh nghiệp trong và ngoài nước ?",Có bạn nhé. Đối với việc này FPT sẽ tạo cơ hội cho bạn tại kì thực tập OJT hoặc bạn có thể tham dự góp mặt tại các buổi hội thảo mà FPT sẽ tổ chức nhé.,827
55,56,Thiện,CN,Sinh viên tốt nghiệp ngành Trí tuệ nhân tạo của Đại học FPT có cơ hội học lên cao học và tiến sĩ không?,Có bạn nhá. Bạn có thể tìm hiểu các trường đào tạo cao học trong ngành hoặc bạn có thể tham khảo FBS :https://fsb.edu.vn. Đây là viện đào tạo cao học của FPT là một trong những viện đào tạo cao học uy tín ở Việt Nam,621
56,57,Thiện,CN,Đại học FPT có mối liên kết với các công ty công nghệ nổi tiếng để đảm bảo việc làm cho sinh viên ngành Trí tuệ nhân tạo không?,"Có bạn nhá. FPT đảm bảo sẽ có nơi cho bạn thực tập. FPT có liên kết với FPT Software, FPT Smart Cloud, hay những doanh nghiệp khác trong và ngoài nước mà FPT có khả năng liên kết được,... Chắc chắn sẽ giúp được bạn có nơi thực tập ",895
57,58,Thiện,CN,Có cơ hội tham gia vào các dự án nghiên cứu về AI với các trường đại học và tổ chức nghiên cứu khác không?Có cơ hội tham gia vào các dự án nghiên cứu về AI với các trường đại học và tổ chức nghiên cứu khác không?,"Có bạn nha. Nếu bạn học tốt có đủ khả năng thì tại kì 6 bạn sẽ được đi thực tập ở những nơi đủ lớn đúng với khả năng của bạn. Điển hình là Tổ hợp Trung tâm nghiên cứu, sản xuất và đào tạo chuyên gia công nghệ tại Quy Nhơn của FPT sắp khánh thành",230
58,59,Thiện,CN,"Tổ hợp Trung tâm nghiên cứu, sản xuất và đào tạo chuyên gia công nghệ ở Quy Nhơn là gì ạ. Cho em biết thêm thông tin ạ ?","Đây là Tổ hợp Trung tâm nghiên cứu, sản xuất và đào tạo chuyên gia công nghệ (Tổ hợp công nghệ) được đầu tư triển khai tại Thung lũng Quy Hòa, khu vực 2, phường Ghềnh Ráng, thành phố Quy Nhơn, tỉnh Bình Định. Dự kiến, Dự án sẽ được khởi công giai đoạn 1 trong quý 3/2023. 
Với tổng số vốn đầu tư hơn 2.000 tỷ đồng, tổ hợp công nghệ này dự kiến sẽ là nơi làm việc, nghiên cứu phát triển, học tập của 20.000 nhân sự công nghệ, góp phần phát triển nguồn nhân lực chất lượng cao cho địa phương cũng như thu hút nhân lực quốc tế hướng đến mục tiêu đưa Quy Nhơn thành trung tâm trí tuệ nhân tạo của khu vực Đông Nam Á...... [chi tiết: https://baochinhphu.vn/trung-tam-tri-tue-nhan-tao-rong-1525-ha-sap-hinh-thanh-tai-quy-nhon-102230205143555903.htm] ",789
59,60,Thiện,CN,FPT có các sản phẩm AI nào chưa ạ ?,"Tất nhiên là có bạn nha. Điển hình như: FPT AI ChatBot, FPT AI Conversation,...[bạn có thể tham khảo thêm các sản phẩm khác: https://fpt.ai/vi/san-pham]",411
60,61,Thiện,Chung,Em ở Cần Thơ thì có học FPT có cơ sở không ạ ?,"FPT có các campus trải dài khắp 3 miền của Việt Nam:
- Campus Hà Nội
- Campus Hồ Chí Minh
- Campus Cần Thơ
- Campus Đà Nẵng
- Campus Quy Nhơn
Cho nên bạn có thể học FPT ở Cần Thơ nhé.",405
61,62,Thiện,Chung,Cho em thông tin liên hệ và địa chỉ FPT campus Hà Nội ạ,"ĐẠI HỌC FPT HÀ NỘI
Khu Giáo dục và Đào tạo – Khu Công nghệ cao Hòa Lạc – Km29 Đại lộ Thăng Long, H. Thạch Thất, TP. Hà Nội
 (024) 7300 5588
 (024) 7300 1866
 tuyensinh.hanoi@fpt.edu.vn
 http://hanoi.fpt.edu.vn/",39
62,63,Thiện,Chung,Cho em thông tin liên hệ và địa chỉ FPT campus Hồ Chí Minh ạ,"ĐẠI HỌC FPT HCM
Lô E2a-7, Đường D1 Khu Công nghệ cao, P. Long Thạnh Mỹ, Q. 9, TP. Hồ Chí Minh
 (028) 7300 5588
 daihoc.hcm@fpt.edu.vn
 https://hcmuni.fpt.edu.vn/",40
63,64,Thiện,Chung,Cho em thông tin liên hệ và địa chỉ FPT campus Đà Nẵng ạ,"ĐẠI HỌC FPT ĐÀ NẴNG
Khu Đô thị Công nghệ FPT Đà Nẵng, P. Hoà Hải, Q. Ngũ Hành Sơn, TP. Đà Nẵng
 (0236) 730 0999
 Dnuni@fe.edu.vn
 https://dnuni.fpt.edu.vn/",42
64,65,Thiện,Chung,Cho em thông tin liên hệ và địa chỉ FPT campus Cần Thơ ạ,"ĐẠI HỌC FPT CẦN THƠ
Số 600 Đường Nguyễn Văn Cừ (nối dài), P. An Bình, Q. Ninh Kiều, TP. Cần Thơ
 (0292) 360 1996
 (0292) 730 3636
 fptu.cantho@fe.edu.vn
 https://cantho.fpt.edu.vn/",38
65,66,Thiện,Chung,Cho em thông tin liên hệ và địa chỉ FPT campus Quy Nhơn ạ,"ĐẠI HỌC FPT QUY NHƠN
Khu Đô thị mới An Phú Thịnh, TP. Quy Nhơn, Bình Định
 (0256) 7300 999
 Qnuni@fe.edu.vn
 http://qnuni.fpt.edu.vn/",41
66,67,Thiện,CN,Giảng viên có chuyên môn cao không ạ ?," Đội ngũ giảng viên là chuyên gia nhiều năm thực chiến trong ngành, tu nghiệp tại các quốc gia có nền giáo dục phát triển nhất thế giới như Anh, Mỹ, Nhật Bản…",417
